date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:20	112/112	---M-Z	200	added ('OK')	text/plain	date:Wed,%2026%20Oct%202022%2012:06:21%20GMT	https://wp.w3layouts.com/robots.txt		(from )
17:36:20	61574/61574	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2010:27:00%20GMT	https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/index97f6.html	(from )
17:36:21	268332/268332	---M-Z	200	added ('OK')	text/css	etag:%224182c-5bb969de0a357-gzip%22	https://wp.w3layouts.com/iportfolio/wp-content/themes/iportfolio/assets/css/style-liberty.css	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/wp-content/themes/iportfolio/assets/css/style-liberty.css	(from https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335)
17:36:21	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e3aeaf7e8cae-gzip%22	https://wp.w3layouts.com/iportfolio/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335)
17:36:21	6198/6198	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c22f4280163671a201eff949a6fd0239-gzip%22	https://wp.w3layouts.com/iportfolio/feed/	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/feed/index.html	(from https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335)
17:36:21	55692/55692	---M-Z	200	added ('OK')	text/css	etag:%22d98c-5bc266fbb86c5-gzip%22	https://wp.w3layouts.com/iportfolio/wp-content/themes/iportfolio/style.css?ver=1.0.0	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/wp-content/themes/iportfolio/style8a54.css	(from https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335)
17:36:22	14432/14432	---M-Z	200	added ('OK')	text/css	etag:%223860-5e3ae9eeb3272-gzip%22	https://wp.w3layouts.com/iportfolio/wp-content/plugins/tlp-food-menu/assets/css/foodmenu.min.css?ver=4.0.0	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/wp-content/plugins/tlp-food-menu/assets/css/foodmenu.mincce7.css	(from https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335)
17:36:22	1057/1057	---M-Z	200	added ('OK')	text/css	etag:%22421-5e3aea08f2e34-gzip%22	https://wp.w3layouts.com/iportfolio/wp-content/plugins/recent-posts-widget-with-thumbnails/public.css?ver=7.1.1	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/wp-content/plugins/recent-posts-widget-with-thumbnails/public03db.css	(from https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335)
17:36:22	1829/1829	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c22f4280163671a201eff949a6fd0239-gzip%22	https://wp.w3layouts.com/iportfolio/comments/feed/	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/comments/feed/index.html	(from https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335)
17:36:22	1409/1409	---MCZ	200	added ('OK')	application/json	date:Wed,%2026%20Oct%202022%2012:06:23%20GMT	https://wp.w3layouts.com/iportfolio/wp-json/wp/v2/pages/8	C:/My%20Web%20Sites/personal-website/wp.w3layouts.com/iportfolio/wp-json/wp/v2/pages/8.json	(from https://wp.w3layouts.com/iportfolio/?_gl=1%2A1q4mnqx%2A_ga%2AMjA1NTQ1NDEyNC4xNjY2NjE4MzM1%2A_ga_EGV5GTJEP5%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..%2A_ga_9HSZ46TKMQ%2AMTY2Njc2ODQ0OC40LjEuMTY2Njc2ODQ4My4wLjAuMA..&_ga=2.218373145.183957411.1666768449-2055454124.1666618335)
